Relatório Final - MLP
Épocas: 20000
Taxa de Aprendizado: 0.01
Tamanho Entrada: 4
Camadas Ocultas: 5
Tamanho Saída: 3

Pesos Iniciais:
[[-1.5529296  -0.56292929  0.32121416 -1.08841987 -0.60996214]
 [-1.51787984 -0.38230222  1.70988432 -0.55250718 -0.66775928]
 [ 2.69344123 -0.34431073 -1.99717408 -0.16217254 -0.92553005]
 [ 1.84499196  0.57918942 -1.93826507 -0.11174936  0.92869123]]
[[-0.16361918 -2.16646954  2.83716717]
 [ 0.03500965 -0.34633126 -0.99684747]
 [ 5.01341272 -2.83053916 -2.78464882]
 [-0.80183753  0.10559845  0.67265351]
 [ 0.26585279 -0.02563066  0.3214151 ]]

Bias Iniciais:
[[-0.16489118  0.41469475 -0.16879254  0.53002462  0.64392475]]
[[-2.55041015  0.90819982 -1.29692437]]

Erro por Época:
Época 1: Erro = 0.29285662829830733
Época 2: Erro = 0.2845684108573346
Época 3: Erro = 0.2769909873562221
Época 4: Erro = 0.2701172784274268
Época 5: Erro = 0.26393296705028174
Época 6: Erro = 0.2584149454227886
Época 7: Erro = 0.2535308972694787
Época 8: Erro = 0.24924016978395108
Época 9: Erro = 0.24549568763106866
Época 10: Erro = 0.24224643498255588
Época 11: Erro = 0.2394400075265897
Época 12: Erro = 0.23702485435705622
Época 13: Erro = 0.23495200113422543
Época 14: Erro = 0.23317620125795513
Época 15: Erro = 0.23165656746267696
Época 16: Erro = 0.23035678896034006
Época 17: Erro = 0.22924505171535753
Época 18: Erro = 0.2282937680619884
Época 19: Erro = 0.22747920020813364
Época 20: Erro = 0.2267810389202105
Época 21: Erro = 0.22618197831007184
Época 22: Erro = 0.22566731173041849
Época 23: Erro = 0.22522456231934973
Época 24: Erro = 0.22484315400732124
Época 25: Erro = 0.2245141239191623
Época 26: Erro = 0.2242298742476588
Época 27: Erro = 0.22398396018203925
Época 28: Erro = 0.2237709098538906
Época 29: Erro = 0.22358607217077556
Época 30: Erro = 0.22342548861380132
Época 31: Erro = 0.22328578543142866
Época 32: Erro = 0.22316408307646962
Época 33: Erro = 0.22305792015287962
Época 34: Erro = 0.22296518953429847
Época 35: Erro = 0.22288408467324025
Época 36: Erro = 0.22281305443337027
Época 37: Erro = 0.2227507650476554
Época 38: Erro = 0.22269606803528247
Época 39: Erro = 0.22264797310433587
Época 40: Erro = 0.22260562522989147
Época 41: Erro = 0.22256828523291453
Época 42: Erro = 0.22253531329825718
Época 43: Erro = 0.2225061549638066
Época 44: Erro = 0.22248032919059577
Época 45: Erro = 0.22245741818816703
Época 46: Erro = 0.22243705872294386
Época 47: Erro = 0.22241893468172474
Época 48: Erro = 0.22240277069924597
Época 49: Erro = 0.22238832668937958
